cutoff_year,train_rows,test_rows,train_path,test_path
1955,942,76,data\time_splits\train_until_1955.csv,data\time_splits\test_1956_to_1957.csv
1956,978,79,data\time_splits\train_until_1956.csv,data\time_splits\test_1957_to_1958.csv
1957,1018,84,data\time_splits\train_until_1957.csv,data\time_splits\test_1958_to_1959.csv
1958,1057,81,data\time_splits\train_until_1958.csv,data\time_splits\test_1959_to_1960.csv
1959,1102,85,data\time_splits\train_until_1959.csv,data\time_splits\test_1960_to_1961.csv
1960,1138,93,data\time_splits\train_until_1960.csv,data\time_splits\test_1961_to_1962.csv
1961,1187,91,data\time_splits\train_until_1961.csv,data\time_splits\test_1962_to_1963.csv
1962,1231,92,data\time_splits\train_until_1962.csv,data\time_splits\test_1963_to_1964.csv
1963,1278,123,data\time_splits\train_until_1963.csv,data\time_splits\test_1964_to_1965.csv
1964,1323,139,data\time_splits\train_until_1964.csv,data\time_splits\test_1965_to_1966.csv
1965,1401,130,data\time_splits\train_until_1965.csv,data\time_splits\test_1966_to_1967.csv
1966,1462,136,data\time_splits\train_until_1966.csv,data\time_splits\test_1967_to_1968.csv
1967,1531,134,data\time_splits\train_until_1967.csv,data\time_splits\test_1968_to_1969.csv
1968,1598,143,data\time_splits\train_until_1968.csv,data\time_splits\test_1969_to_1970.csv
1969,1665,155,data\time_splits\train_until_1969.csv,data\time_splits\test_1970_to_1971.csv
1970,1741,166,data\time_splits\train_until_1970.csv,data\time_splits\test_1971_to_1972.csv
1971,1820,176,data\time_splits\train_until_1971.csv,data\time_splits\test_1972_to_1973.csv
1972,1907,173,data\time_splits\train_until_1972.csv,data\time_splits\test_1973_to_1974.csv
1973,1996,161,data\time_splits\train_until_1973.csv,data\time_splits\test_1974_to_1975.csv
1974,2080,170,data\time_splits\train_until_1974.csv,data\time_splits\test_1975_to_1976.csv
1975,2157,194,data\time_splits\train_until_1975.csv,data\time_splits\test_1976_to_1977.csv
1976,2250,186,data\time_splits\train_until_1976.csv,data\time_splits\test_1977_to_1978.csv
1977,2351,195,data\time_splits\train_until_1977.csv,data\time_splits\test_1978_to_1979.csv
1978,2436,226,data\time_splits\train_until_1978.csv,data\time_splits\test_1979_to_1980.csv
1979,2546,238,data\time_splits\train_until_1979.csv,data\time_splits\test_1980_to_1981.csv
1980,2662,244,data\time_splits\train_until_1980.csv,data\time_splits\test_1981_to_1982.csv
1981,2784,251,data\time_splits\train_until_1981.csv,data\time_splits\test_1982_to_1983.csv
1982,2906,273,data\time_splits\train_until_1982.csv,data\time_splits\test_1983_to_1984.csv
1983,3035,296,data\time_splits\train_until_1983.csv,data\time_splits\test_1984_to_1985.csv
1984,3179,329,data\time_splits\train_until_1984.csv,data\time_splits\test_1985_to_1986.csv
1985,3331,363,data\time_splits\train_until_1985.csv,data\time_splits\test_1986_to_1987.csv
1986,3508,394,data\time_splits\train_until_1986.csv,data\time_splits\test_1987_to_1988.csv
1987,3694,415,data\time_splits\train_until_1987.csv,data\time_splits\test_1988_to_1989.csv
1988,3902,375,data\time_splits\train_until_1988.csv,data\time_splits\test_1989_to_1990.csv
1989,4109,360,data\time_splits\train_until_1989.csv,data\time_splits\test_1990_to_1991.csv
1990,4277,404,data\time_splits\train_until_1990.csv,data\time_splits\test_1991_to_1992.csv
1991,4469,442,data\time_splits\train_until_1991.csv,data\time_splits\test_1992_to_1993.csv
1992,4681,444,data\time_splits\train_until_1992.csv,data\time_splits\test_1993_to_1994.csv
1993,4911,454,data\time_splits\train_until_1993.csv,data\time_splits\test_1994_to_1995.csv
1994,5125,497,data\time_splits\train_until_1994.csv,data\time_splits\test_1995_to_1996.csv
1995,5365,563,data\time_splits\train_until_1995.csv,data\time_splits\test_1996_to_1997.csv
1996,5622,627,data\time_splits\train_until_1996.csv,data\time_splits\test_1997_to_1998.csv
1997,5928,669,data\time_splits\train_until_1997.csv,data\time_splits\test_1998_to_1999.csv
1998,6249,734,data\time_splits\train_until_1998.csv,data\time_splits\test_1999_to_2000.csv
1999,6597,830,data\time_splits\train_until_1999.csv,data\time_splits\test_2000_to_2001.csv
2000,6983,933,data\time_splits\train_until_2000.csv,data\time_splits\test_2001_to_2002.csv
2001,7427,991,data\time_splits\train_until_2001.csv,data\time_splits\test_2002_to_2003.csv
2002,7916,1181,data\time_splits\train_until_2002.csv,data\time_splits\test_2003_to_2004.csv
2003,8418,1520,data\time_splits\train_until_2003.csv,data\time_splits\test_2004_to_2005.csv
2004,9097,1783,data\time_splits\train_until_2004.csv,data\time_splits\test_2005_to_2006.csv
2005,9938,1961,data\time_splits\train_until_2005.csv,data\time_splits\test_2006_to_2007.csv
2006,10880,2104,data\time_splits\train_until_2006.csv,data\time_splits\test_2007_to_2008.csv
2007,11899,2251,data\time_splits\train_until_2007.csv,data\time_splits\test_2008_to_2009.csv
2008,12984,2310,data\time_splits\train_until_2008.csv,data\time_splits\test_2009_to_2010.csv
2009,14150,2369,data\time_splits\train_until_2009.csv,data\time_splits\test_2010_to_2011.csv
2010,15294,2499,data\time_splits\train_until_2010.csv,data\time_splits\test_2011_to_2012.csv
2011,16519,2704,data\time_splits\train_until_2011.csv,data\time_splits\test_2012_to_2013.csv
2012,17793,2926,data\time_splits\train_until_2012.csv,data\time_splits\test_2013_to_2014.csv
2013,19223,3092,data\time_splits\train_until_2013.csv,data\time_splits\test_2014_to_2015.csv
2014,20719,3384,data\time_splits\train_until_2014.csv,data\time_splits\test_2015_to_2016.csv
2015,22315,3763,data\time_splits\train_until_2015.csv,data\time_splits\test_2016_to_2017.csv
2016,24103,4165,data\time_splits\train_until_2016.csv,data\time_splits\test_2017_to_2018.csv
2017,26078,4683,data\time_splits\train_until_2017.csv,data\time_splits\test_2018_to_2019.csv
2018,28268,5110,data\time_splits\train_until_2018.csv,data\time_splits\test_2019_to_2020.csv
2019,30761,5781,data\time_splits\train_until_2019.csv,data\time_splits\test_2020_to_2021.csv
2020,33378,7098,data\time_splits\train_until_2020.csv,data\time_splits\test_2021_to_2022.csv
2021,36542,8907,data\time_splits\train_until_2021.csv,data\time_splits\test_2022_to_2023.csv
2022,40476,9532,data\time_splits\train_until_2022.csv,data\time_splits\test_2023_to_2024.csv
2023,45449,8273,data\time_splits\train_until_2023.csv,data\time_splits\test_2024_to_2025.csv
2024,50008,3848,data\time_splits\train_until_2024.csv,data\time_splits\test_2025_to_2026.csv
2025,53722,158,data\time_splits\train_until_2025.csv,data\time_splits\test_2026_to_2027.csv
2026,53856,33,data\time_splits\train_until_2026.csv,data\time_splits\test_2027_to_2028.csv
